OBJECTID,NH_CODE,NH_NAME,SHAPEAREA,SHAPELEN
1,99,REMAINDER OF CITY,25583328.3242188,23718.3236901537
2,53,PORTLAND,70098295.09375,43851.3346581394
3,62,SHAWNEE,59953850.1757813,34088.0570548109
4,12,BROWNSBORO ZORN,21977318.7265625,28060.1414366759
5,23,CLIFTON HEIGHTS,17858635.5351563,19464.9334526115
6,13,BUTCHERTOWN,25600550.484375,22476.0839461706
7,25,CRESCENT HILL,53000666.3007812,35485.1338797015
8,17,CENTRAL BUSINESS DISTRICT,33029827.6269531,27923.7528072281
9,58,RUSSELL,39120816.5585938,30140.1113728332
10,22,CLIFTON,19009888.5273438,17779.8130048125
11,39,IRISH HILL,11140517.7246094,24365.0362039293
12,99,REMAINDER OF CITY,3655507.72460938,11702.7579079406
13,51,PHOENIX HILL,16257836.4316406,19251.4323817579
14,57,ROCKCREEK LEXINGTON ROAD,16702087.1914063,34138.9403283481
15,21,CHICKASAW,33929100.7109375,26018.4352139189
16,50,PARKLAND,22678009.2890625,20146.2118771918
17,14,CALIFORNIA,34280997.7636719,24635.7794746023
18,20,CHEROKEE TRIANGLE,27288229.1445313,24982.7382952795
19,99,REMAINDER OF CITY,31489521.5195313,29402.8597753082
20,18,CHEROKEE GARDENS,10925832.8554687,16877.6885600011
21,64,SMOKETOWN JACKSON,11034983.6132813,13830.1607788163
22,47,OLD LOUISVILLE,33395328.984375,31463.9283131366
23,19,CHEROKEE SENECA,36710744.6035156,38885.9639641376
24,74,PARISTOWN POINTE,1886245.76171875,5761.63609182514
25,36,HIGHLANDS,5083966.15039063,9711.47821416887
26,45,LIMERICK,6326751.1484375,12941.9751014883
27,10,BOWMAN,35329001.3925781,46240.358618092
28,99,REMAINDER OF CITY,16634416.4492188,20715.9548921658
29,30,GERMANTOWN,16716542.6972656,16709.3909747656
30,49,PARK HILL,27999518.5957031,23853.79557544
31,70,TYLER PARK,14342019.125,17512.0333699902
32,63,SHELBY PARK,11329278.8359375,13921.0917473821
33,9,BONNYCASTLE,9091686.39453125,16247.2645347663
34,48,PARK DUVALLE,25371006.2929688,22847.0219659818
35,99,REMAINDER OF CITY,2264309.17578125,15600.0316400776
36,38,HIKES POINT,24955231.3052344,35065.0187982151
37,37,HIGHLANDS DOUGLASS,17964144.5664063,21338.6133251452
38,26,DEER PARK,13693682.8632813,16675.6430308811
39,1,ALGONQUIN,33219618.2832031,32962.9248288798
40,0, ,4353180.62109375,10893.9158090162
41,61,SCHNITZELBURG,16157895.3420312,16521.9569404782
42,59,MERRIWETHER,7249307.96683594,11794.2004598074
43,99,REMAINDER OF CITY,29185966.6911719,59946.4928551153
44,0, ,1042805.10351563,4332.50070680068
45,71,UNIVERSITY,22759446.4017969,32175.6858254405
46,31,HALLMARK,3850669.390625,10580.2290636696
47,52,POPLAR LEVEL,33808981.0950781,35940.9911516849
48,4,AVONDALE MELBOURNE HEIGHTS,13508027.25,17233.6880445092
49,0, ,1780381.33398438,5262.40845633467
50,7,BELKNAP,22028825.0546875,21828.6029666359
51,0, ,4924481.04296875,11567.9474473911
52,32,HAWTHORNE,12244929.8574219,25242.1033189663
53,60,SAINT JOSEPH,16870756.5830859,20421.7931985977
54,69,TAYLOR BERRY,28828779.9921875,27984.0394528318
55,0, ,1559381.62695313,5815.86564369463
56,99,REMAINDER OF CITY,392710.572265625,3687.45159106873
57,8,BON AIR,34359676.2097656,50385.1224371346
58,3,AUDUBON,17327246.4617188,22516.1622417457
59,0, ,2496403.48242188,8069.49422421914
60,29,GARDINER LANE,8277513.921875,12872.5143706581
61,33,HAYFIELD DUNDEE,16435765.2402344,16322.3177487918
62,65,SOUTH LOUISVILLE,21600041.4941406,22937.6143853943
63,0, ,2429669.63679687,6576.10295989257
64,44,KLONDIKE,22820490.3611719,33271.2361591382
65,0, ,8987381.66109375,13480.8477440474
66,5,BASHFORD MANOR,15474178.8014063,19882.2634608962
67,99,REMAINDER OF CITY,9572779.59859375,18009.0556984875
68,28,FAIRGROUNDS,30170019.8610938,32315.687791129
69,16,CAMP TAYLOR,11620439.0019531,17778.5135154085
70,99,REMAINDER OF CITY,689749.227890625,7493.87314915933
71,72,WILDER PARK,10325888.9888281,14496.5102089702
72,56,PRESTONIA,10395510.0453906,15768.9130723813
73,73,WYANDOTTE/OAKDALE,15139954.15625,15983.6050634641
74,42,JACOBS,19626688.5774219,18136.1811958753
75,99,REMAINDER OF CITY,1316860.84273438,6277.136042315
76,35,HIGHLAND PARK,16344882.0682031,22474.8100173395
77,99,REMAINDER OF CITY,75749836.1725781,58968.454511078
78,99,REMAINDER OF CITY,2221378.93039062,6577.2441152959
79,6,BEECHMONT,40279693.3847656,29071.603098118
80,56,PRESTONIA,1523193.6578125,4925.30727642638
81,34,HAZELWOOD,17899405.0778906,21086.5764636488
82,24,CLOVERLEAF,20213041.9353125,19107.514421279
83,68,STANDIFORD,7613031.65125,12278.2468647619
84,67,SOUTHSIDE,25638034.4223438,28565.2760312113
85,40,IROQUOIS,6569698.41953125,12533.3638270852
86,27,EDGEWOOD,20748098.2303125,21220.9489608444
87,41,IROQUOIS PARK,38241372.1832812,26250.9881759355
88,40,IROQUOIS,11842680.5470313,13812.6910066987
89,66,SOUTHLAND PARK,19008090.6578125,17532.1468786282
90,43,KENWOOD HILL,14423643.4861719,17117.2921816422
91,2,AUBURNDALE,17071579.2291406,18911.0535626068
92,99,REMAINDER OF CITY,1073138.42585938,4841.45253385176
